d1,r,d2
DB00758,0,DB09119
DB01181,0,DB00619
DB01181,0,DB01167
DB00518,0,DB00564
DB00758,0,DB00745
DB00283,0,DB01181
DB01181,0,DB00227
DB00758,0,DB00448
DB00758,0,DB09198
DB00215,0,DB00758
DB00758,0,DB00622
DB00091,0,DB01181
DB00188,0,DB01181
DB05812,0,DB00758
DB01118,0,DB01181
DB00758,0,DB01241
DB00501,0,DB00758
DB00758,0,DB05351
DB00472,0,DB00956
DB00254,0,DB01181
DB01012,0,DB00956
DB04855,0,DB01181
DB01181,0,DB01026
DB00956,0,DB06595
DB00758,0,DB01171
DB01211,0,DB01181
DB00320,0,DB01181
DB01181,0,DB01149
DB00188,0,DB00758
DB00758,0,DB00472
DB00289,0,DB01181
DB06695,0,DB00736
DB00199,0,DB01181
DB01156,0,DB00956
DB00276,1,DB08868
DB08868,1,DB00959
DB01196,1,DB08868
DB08868,1,DB00441
DB08868,1,DB01024
DB00242,1,DB08868
DB08868,1,DB01204
DB00445,1,DB08868
DB08868,1,DB00222
DB00091,1,DB08868
DB00515,1,DB08868
DB00993,1,DB08868
DB08868,1,DB09053
DB01248,1,DB08868
DB06772,1,DB08868
DB00987,1,DB08868
DB01222,1,DB08868
DB08868,1,DB01033
DB01234,1,DB08868
DB08868,1,DB01206
DB01590,1,DB08868
DB01380,1,DB08868
DB00773,1,DB08868
DB00262,1,DB08868
DB00928,1,DB08868
DB08868,1,DB00563
DB08868,1,DB00544
DB08868,1,DB01280
DB05676,1,DB08868
DB08868,1,DB01005
DB00694,1,DB08868
DB00443,1,DB08868
DB08868,1,DB00741
DB12364,2,DB00461
DB12364,2,DB00712
DB12364,2,DB01628
DB12364,2,DB00749
DB13783,2,DB01418
DB12364,2,DB09212
DB12364,2,DB01050
DB13783,2,DB00006
DB12364,2,DB00328
DB12364,2,DB00688
DB12364,2,DB00215
DB12364,2,DB00814
DB12364,2,DB00963
DB12364,2,DB00784
DB13783,2,DB06605
DB00945,2,DB12364
DB12364,2,DB00608
DB05676,2,DB12364
DB12364,2,DB00586
DB00972,2,DB12364
DB12364,2,DB01175
DB12364,2,DB01149
DB13783,2,DB06695
DB12364,2,DB01097
DB06736,2,DB12364
DB13783,2,DB12364
DB12364,2,DB06725
DB01435,2,DB12364
DB12364,2,DB01009
DB12364,2,DB00472
DB00623,3,DB01577
DB00865,3,DB04946
DB01238,3,DB00865
DB00865,3,DB00623
DB00182,3,DB09128
DB01238,3,DB01576
DB00865,3,DB00933
DB00182,3,DB00933
DB00865,3,DB00502
DB01576,3,DB00875
DB00182,3,DB09224
DB00875,3,DB01577
DB00865,3,DB08815
DB01576,3,DB00933
DB06216,3,DB01577
DB00182,3,DB04946
DB08815,3,DB01577
DB00865,3,DB00477
DB09224,3,DB01577
DB00865,3,DB00363
DB01576,3,DB08815
DB00865,3,DB01403
DB06016,3,DB01576
DB01576,3,DB00623
DB01238,3,DB01577
DB09128,3,DB01576
DB00182,3,DB00875
DB00182,3,DB08815
DB00933,3,DB01577
DB01576,3,DB04946
DB00851,4,DB04817
DB01181,4,DB04817
DB00242,4,DB04817
DB00631,4,DB04817
DB09053,4,DB04817
DB00619,4,DB04817
DB00773,4,DB04817
DB01033,4,DB04817
DB01177,4,DB04817
DB00928,4,DB04817
DB00188,4,DB04817
DB00307,4,DB04817
DB00997,4,DB04817
DB04845,4,DB04817
DB01262,4,DB04817
DB01248,4,DB04817
DB01206,4,DB04817
DB04817,4,DB01204
DB01005,4,DB04817
DB00564,4,DB04817
DB06616,4,DB04817
DB06772,4,DB04817
DB01169,4,DB04817
DB00694,4,DB04817
DB04817,4,DB00763
DB00446,4,DB04817
DB00322,4,DB04817
DB00445,4,DB04817
DB01274,5,DB01136
DB00346,5,DB01274
DB00590,5,DB00983
DB00590,5,DB00211
DB00346,5,DB00633
DB00598,5,DB00968
DB01136,5,DB01407
DB00590,5,DB00968
DB00590,5,DB01064
DB00346,5,DB00841
DB00346,5,DB00983
DB00346,5,DB06262
DB00346,5,DB01407
DB00590,5,DB00751
DB00590,5,DB00668
DB01407,5,DB00590
DB00633,5,DB00590
DB00346,5,DB00751
DB01136,5,DB00841
DB00590,5,DB01018
DB01136,5,DB00983
DB00346,5,DB08893
DB00575,5,DB00590
DB00841,5,DB00590
DB00346,5,DB00696
DB00346,5,DB01364
DB01136,5,DB01364
DB00590,5,DB06262
DB13954,6,DB01628
DB00977,6,DB00461
DB13956,6,DB00461
DB13956,6,DB01628
DB01628,6,DB01357
DB13952,6,DB00461
DB00482,6,DB13952
DB00482,6,DB13954
DB00783,6,DB00461
DB00783,6,DB00749
DB00977,6,DB00749
DB13954,6,DB00461
DB00749,6,DB01357
DB13956,6,DB01283
DB13956,6,DB00749
DB01357,6,DB00461
DB13952,6,DB01283
DB00783,6,DB01283
DB00482,6,DB00655
DB00655,6,DB00461
DB00482,6,DB13956
DB13952,6,DB00749
DB00482,6,DB00977
DB00977,6,DB01628
DB00255,6,DB01628
DB00255,6,DB01283
DB00655,6,DB01628
DB01283,6,DB01357
DB00802,7,DB01577
DB01576,7,DB00956
DB00318,7,DB01577
DB00865,7,DB00318
DB01576,7,DB00647
DB01227,7,DB01577
DB00865,7,DB01466
DB00802,7,DB01576
DB00865,7,DB00813
DB01577,7,DB00295
DB01576,7,DB01466
DB00865,7,DB00956
DB00865,7,DB00327
DB00921,7,DB01577
DB00865,7,DB00921
DB00865,7,DB00647
DB06738,7,DB01577
DB00865,7,DB00333
DB00318,7,DB01576
DB01466,7,DB01577
DB01576,7,DB00295
DB00647,7,DB01577
DB00865,7,DB06738
DB08897,8,DB00967
DB08897,8,DB00392
DB00804,8,DB06148
DB00182,8,DB00283
DB08897,8,DB06148
DB00967,8,DB06148
DB00434,8,DB01171
DB00366,8,DB00805
DB08897,8,DB00804
DB08897,8,DB00245
DB00283,8,DB01171
DB00434,8,DB00805
DB00182,8,DB00366
DB08897,8,DB06702
DB00810,8,DB06148
DB08897,8,DB00332
DB00979,8,DB06148
DB08897,8,DB00810
DB01071,8,DB01171
DB00392,8,DB06148
DB08897,8,DB00572
DB00496,8,DB06148
DB11181,8,DB06148
DB00898,9,DB08918
DB00182,9,DB05351
DB05351,9,DB01576
DB05351,9,DB00422
DB06701,9,DB00751
DB00501,9,DB06701
DB00091,9,DB01233
DB00751,9,DB00422
DB00927,9,DB00422
DB00182,9,DB00736
DB06701,9,DB00927
DB00736,9,DB00422
DB01576,9,DB00736
DB00448,9,DB00422
DB12161,10,DB00683
DB12161,10,DB00829
DB12161,10,DB00402
DB12161,10,DB01437
DB12161,10,DB00633
DB12161,10,DB01075
DB12161,10,DB01544
DB12161,10,DB00292
DB12161,10,DB01215
DB06594,10,DB12161
DB12161,10,DB00371
DB12161,10,DB06716
DB12161,10,DB01107
DB01351,10,DB12161
