d1,r,d2
DB00439,0,DB00758
DB00439,0,DB00602
DB01076,0,DB00602
DB01590,0,DB01095
DB01076,0,DB04845
DB00602,0,DB00227
DB01095,0,DB04845
DB01076,0,DB00627
DB00439,0,DB04845
DB00439,0,DB01590
DB02300,1,DB00808
DB00436,1,DB02300
DB06410,1,DB00808
DB00436,1,DB00146
DB00146,1,DB00808
DB00436,1,DB00153
DB00136,1,DB00808
DB00436,1,DB00169
DB00169,1,DB00808
DB00316,2,DB00898
DB00993,2,DB00531
DB00091,2,DB01406
DB00316,2,DB00619
DB00459,2,DB00563
DB00316,2,DB01254
DB00559,2,DB01016
DB00523,2,DB00563
DB01393,3,DB00227
DB00439,3,DB01394
DB01393,3,DB00439
DB01076,3,DB01393
DB01393,3,DB01095
DB01394,3,DB01241
DB01394,3,DB01095
DB06263,4,DB01135
DB00694,4,DB01245
DB01135,4,DB00997
DB01135,4,DB00445
DB01245,4,DB00445
DB06263,4,DB01245
DB01135,4,DB01177
DB01254,5,DB01142
DB01254,5,DB00927
DB00182,5,DB00593
DB00865,5,DB00593
DB00593,5,DB01577
DB00501,5,DB01254
DB00436,6,DB06700
DB06700,6,DB00808
DB00436,6,DB08918
DB00436,6,DB00176
DB00436,6,DB00215
DB00808,6,DB08918
DB09167,7,DB00211
DB01142,7,DB00211
DB01151,7,DB00211
DB00924,7,DB00211
DB00321,7,DB00211
DB00458,7,DB00211
DB01039,8,DB00227
DB01039,8,DB01095
DB01406,8,DB01095
DB01076,8,DB01039
DB00555,9,DB00603
DB09123,9,DB00555
DB01395,9,DB00555
DB13783,9,DB00695
DB01245,10,DB00695
DB00887,10,DB01245
DB01135,10,DB00695
DB00887,10,DB01135
DB00437,11,DB00584
DB00437,11,DB00542
DB00437,11,DB00436
DB09063,12,DB01013
DB00443,12,DB09063
DB00394,12,DB09063
DB00720,13,DB00997
DB06263,13,DB00720
DB00720,13,DB00445
DB06772,14,DB00515
DB00993,14,DB01033
DB00515,14,DB01248
DB06237,15,DB01020
DB00898,15,DB01020
DB01612,15,DB06237
