d1,r,d2
DB01193,0,DB01251
DB01168,0,DB01067
DB01104,0,DB09038
DB00936,0,DB09038
DB00715,0,DB00839
DB00614,0,DB00284
DB01250,0,DB09038
DB00752,0,DB01067
DB04896,0,DB00834
DB00621,0,DB00412
DB08882,0,DB01067
DB00839,0,DB06791
DB01247,0,DB01120
DB01168,0,DB00731
DB00779,0,DB01016
DB04576,0,DB00263
DB09241,0,DB00359
DB00861,0,DB00280
DB00467,0,DB09038
DB00945,0,DB09038
DB01208,0,DB00731
DB01252,0,DB01016
DB00215,0,DB00412
DB01393,0,DB01251
DB00233,0,DB00331
DB01155,0,DB06292
DB01137,0,DB08907
DB01059,0,DB00731
DB00467,0,DB00834
DB01203,0,DB01124
DB00359,0,DB01289
DB00419,0,DB01268
DB01175,0,DB01124
DB00571,0,DB00672
DB01104,0,DB00412
DB00373,0,DB01067
DB01367,0,DB01268
DB00182,0,DB01015
DB06718,0,DB01067
DB00335,0,DB01251
DB00624,0,DB01261
DB00244,0,DB00331
DB00827,0,DB00468
DB00166,0,DB00222
DB00472,0,DB01132
DB06718,0,DB00491
DB09244,0,DB00359
DB00468,0,DB00738
DB00280,0,DB00672
DB00284,0,DB00912
DB00817,0,DB00468
DB01185,0,DB01067
DB08804,0,DB00491
DB01247,0,DB00222
DB08804,0,DB01261
DB00187,0,DB01016
DB01155,0,DB00412
DB00715,0,DB06335
DB01251,0,DB00834
DB00861,0,DB09038
DB00412,0,DB01268
DB06710,0,DB00280
DB00779,0,DB00263
DB01059,0,DB01124
DB09543,0,DB06335
DB00182,0,DB06203
DB01580,0,DB01124
DB00738,0,DB00839
DB00487,0,DB08907
DB01171,0,DB00468
DB01210,0,DB01289
DB06335,0,DB01067
DB06700,0,DB06203
DB00614,0,DB00731
DB00263,0,DB00839
DB00166,0,DB01120
DB00817,0,DB00738
DB00805,0,DB00280
DB00914,0,DB00672
DB00166,0,DB00284
DB00359,0,DB01268
DB01076,0,DB00672
DB01014,0,DB00284
DB01247,0,DB06335
DB01295,0,DB01067
DB06335,0,DB00731
DB01208,0,DB00280
DB00945,0,DB01016
DB00780,0,DB01268
DB04861,0,DB01067
DB04896,0,DB06335
DB01104,0,DB01268
DB01626,0,DB00839
DB04896,0,DB00839
DB01420,0,DB01268
DB01214,0,DB00839
DB00861,0,DB00491
DB00419,0,DB00672
DB08807,0,DB01067
DB00779,0,DB00672
DB00233,0,DB01015
DB00624,0,DB08907
DB01359,0,DB01016
DB04896,0,DB00284
DB01185,0,DB00834
DB00752,0,DB06292
DB01359,0,DB01120
DB09241,0,DB06335
DB00752,0,DB00839
DB08983,0,DB01289
DB06710,0,DB01120
DB01037,0,DB08907
DB01208,0,DB01132
DB00166,0,DB00731
DB08918,0,DB00222
DB01250,0,DB01120
DB01104,0,DB00331
DB00472,0,DB01067
DB01137,0,DB00839
DB00715,0,DB01015
DB01015,0,DB01067
DB06710,0,DB01015
DB01420,0,DB00834
DB01297,0,DB01289
DB00636,0,DB00672
DB08804,0,DB00834
DB00738,0,DB01067
DB01104,0,DB00912
DB00780,0,DB00738
DB01250,0,DB01015
DB06412,0,DB01120
DB00284,0,DB01120
DB08804,0,DB01120
DB08804,0,DB09038
DB00244,0,DB00222
DB00612,0,DB00672
DB08907,0,DB00222
DB09543,0,DB00912
DB00779,0,DB00468
DB00187,0,DB00672
DB00491,0,DB00731
DB00491,0,DB01120
DB06710,0,DB00412
DB08907,0,DB01124
DB00715,0,DB00672
DB00166,0,DB06335
DB00715,0,DB01120
DB08882,0,DB00359
DB00827,0,DB00331
DB11079,0,DB00222
DB01137,0,DB00284
DB00827,0,DB01200
DB04846,0,DB00672
DB01014,0,DB00839
DB01132,0,DB00839
DB06335,0,DB00672
DB00476,0,DB00412
DB01185,0,DB00672
DB00672,0,DB01067
DB01059,0,DB00331
DB01252,0,DB00222
DB00752,0,DB00731
DB00476,0,DB00839
DB01185,0,DB01261
DB00491,0,DB01016
DB00817,0,DB00280
DB00805,0,DB00839
DB00419,0,DB00280
DB00419,0,DB01016
DB11079,0,DB00731
DB00419,0,DB00263
DB06710,0,DB01200
DB01132,0,DB01120
DB00780,0,DB01015
DB08804,0,DB00284
DB00779,0,DB09038
DB00244,0,DB00834
DB00621,0,DB01261
DB00861,0,DB00284
DB06203,0,DB00222
DB00839,0,DB01067
DB08882,0,DB00912
DB00827,0,DB00263
DB06718,0,DB01200
DB00467,0,DB00672
DB06718,0,DB00738
DB09038,0,DB01067
DB00215,0,DB00331
DB06335,0,DB01268
DB00752,0,DB00284
DB00805,0,DB00672
DB00467,0,DB00738
DB00945,0,DB00839
DB01104,0,DB00839
DB06710,0,DB06292
DB00476,0,DB01124
DB00715,0,DB00284
DB00182,0,DB00284
DB11079,0,DB01200
DB00487,0,DB01268
DB04576,0,DB00672
DB00467,0,DB00839
DB00521,0,DB01289
DB00476,0,DB01015
DB09241,0,DB09038
DB00487,0,DB00912
DB00222,0,DB00672
DB04876,0,DB01124
DB08807,0,DB00839
DB01626,0,DB06335
DB01261,0,DB00912
DB01149,0,DB00222
DB04896,0,DB01132
DB01175,0,DB06335
DB00264,0,DB01251
DB01295,0,DB01251
DB00285,0,DB00672
DB00233,0,DB09038
DB01626,0,DB00731
DB06203,0,DB01120
DB01014,0,DB08907
DB00621,0,DB00839
DB00936,0,DB00672
DB08804,0,DB01200
DB01059,0,DB00359
DB01203,0,DB01251
DB00805,0,DB00284
DB01104,0,DB00284
DB01155,0,DB06203
DB00861,0,DB06292
DB04846,0,DB00222
DB00331,0,DB00468
DB01014,0,DB01016
DB06412,0,DB00222
DB01039,0,DB01124
DB01155,0,DB08907
DB09241,0,DB06203
DB01626,0,DB01120
DB00817,0,DB01120
DB00472,0,DB00491
DB04896,0,DB01268
DB00331,0,DB01120
DB00861,0,DB00263
DB01247,0,DB01015
DB00472,0,DB00839
DB00945,0,DB01200
DB06412,0,DB01268
DB00685,0,DB01016
DB01367,0,DB00331
DB08882,0,DB01016
DB01039,0,DB00839
DB01175,0,DB06203
DB01014,0,DB06335
DB01171,0,DB00912
DB00233,0,DB00491
DB00182,0,DB00263
DB06700,0,DB01261
DB00476,0,DB00672
DB01210,0,DB01067
DB01185,0,DB06292
DB00166,0,DB01132
DB04576,0,DB01200
DB00779,0,DB00331
DB06700,0,DB01124
DB00731,0,DB00738
DB09038,0,DB00834
DB09241,0,DB00284
DB00817,0,DB00731
DB09204,0,DB00672
DB00960,0,DB00672
DB06700,0,DB01132
DB08804,0,DB00412
DB00827,0,DB00912
DB00805,0,DB06203
DB11079,0,DB01268
DB06700,0,DB00222
DB00715,0,DB01016
DB04876,0,DB00280
DB04576,0,DB00280
DB08804,0,DB01268
DB01185,0,DB09038
DB01208,0,DB08907
DB00104,0,DB01268
DB09543,0,DB00839
DB01059,0,DB09038
DB00624,0,DB00331
DB08918,0,DB01067
DB06335,0,DB01015
DB01044,0,DB00284
DB00612,0,DB00222
DB01044,0,DB00280
DB09245,0,DB00468
DB06700,0,DB00738
DB00284,0,DB01268
DB00222,0,DB00738
DB01044,0,DB00912
DB09245,0,DB00491
DB01359,0,DB01289
DB01136,0,DB01289
DB01104,0,DB08907
DB00467,0,DB01132
DB08983,0,DB01124
DB01014,0,DB00331
DB00685,0,DB06203
DB01626,0,DB00412
DB00805,0,DB00412
DB09543,0,DB01132
DB01208,0,DB00222
DB00467,0,DB00331
DB00779,0,DB06292
DB04896,0,DB00491
DB08804,0,DB00263
DB00936,0,DB00491
DB00779,0,DB00491
DB00861,0,DB01067
DB00912,0,DB01124
DB01359,0,DB01067
DB01420,0,DB00468
DB00861,0,DB01268
DB00244,0,DB06203
DB00612,0,DB01120
DB01252,0,DB01120
DB06700,0,DB01067
DB09245,0,DB00672
DB00827,0,DB00738
DB00244,0,DB00738
DB00621,0,DB01015
DB00222,0,DB01268
DB01250,0,DB01067
DB00614,0,DB08907
DB04896,0,DB00263
DB01367,0,DB00731
DB00752,0,DB00738
DB06718,0,DB00412
DB09245,0,DB00912
DB00166,0,DB00912
DB01268,0,DB06791
DB06663,0,DB06791
DB01208,0,DB00412
DB06700,0,DB00491
DB00839,0,DB01268
DB00476,0,DB01120
DB01251,0,DB00468
DB06412,0,DB01015
DB08804,0,DB01132
DB01210,0,DB00222
DB00960,0,DB01289
DB11079,0,DB01261
DB01015,0,DB01120
DB01175,0,DB00738
DB00244,0,DB00263
DB08983,0,DB01067
DB00222,0,DB00468
DB00861,0,DB01016
DB04876,0,DB00731
DB01185,0,DB01268
DB00104,0,DB00731
DB01168,0,DB00839
DB00598,0,DB01251
DB09245,0,DB01015
DB06700,0,DB01120
DB09244,0,DB00672
DB01137,0,DB01120
DB01185,0,DB00263
DB01261,0,DB00222
DB04876,0,DB00263
DB00861,0,DB00222
DB06203,0,DB01015
DB06412,0,DB00912
DB06203,0,DB01124
DB01104,0,DB06335
DB00335,0,DB01124
DB00752,0,DB08907
DB00182,0,DB00672
DB01014,0,DB00738
DB01247,0,DB00491
DB01014,0,DB06203
DB01185,0,DB00222
DB09543,0,DB01200
DB00233,0,DB01120
DB00936,0,DB00731
DB00817,0,DB06335
DB00779,0,DB00222
DB00244,0,DB01268
DB01175,0,DB01016
DB00945,0,DB00912
DB00614,0,DB01016
DB00936,0,DB00331
DB00487,0,DB06335
DB01014,0,DB00222
DB01044,0,DB00222
DB04896,0,DB06292
DB00861,0,DB06335
DB00285,0,DB00331
DB00614,0,DB01261
DB01250,0,DB00672
DB00467,0,DB01015
DB00476,0,DB00912
DB01420,0,DB06203
DB00467,0,DB00284
DB01015,0,DB01268
DB00195,0,DB01016
DB00779,0,DB06203
DB00373,0,DB01120
DB04896,0,DB00738
DB08804,0,DB08907
DB00182,0,DB09038
DB00222,0,DB06791
DB00233,0,DB08907
DB01250,0,DB01016
DB09244,0,DB00491
DB08907,0,DB00468
DB00476,0,DB00284
DB01203,0,DB01120
DB01208,0,DB01016
DB00779,0,DB00284
DB01367,0,DB00284
DB09543,0,DB01124
DB00817,0,DB06203
DB00166,0,DB08907
DB09038,0,DB00263
DB06718,0,DB00263
DB09241,0,DB00412
DB00331,0,DB01124
DB00598,0,DB01120
DB01367,0,DB00222
DB01155,0,DB00331
DB06700,0,DB09038
DB00233,0,DB00834
DB00468,0,DB00731
DB01037,0,DB00280
