d1,r,d2
DB00862,0,DB01137
DB00398,0,DB01182
DB00440,0,DB00757
DB00243,0,DB04844
DB00818,0,DB00489
DB01189,0,DB01118
DB01189,0,DB09039
DB08893,0,DB01165
DB00934,0,DB01224
DB00188,0,DB01267
DB00714,0,DB00199
DB00199,0,DB00333
DB01242,0,DB00420
DB00691,0,DB00608
DB00188,0,DB01195
DB00862,0,DB00875
DB00691,0,DB00477
DB00622,0,DB00204
DB00543,0,DB01137
DB01075,0,DB00604
DB00346,0,DB04855
DB01167,0,DB01267
DB00537,0,DB00889
DB01236,0,DB06589
DB04953,0,DB01182
DB00218,0,DB00976
DB01591,0,DB00889
DB00289,0,DB00976
DB09080,0,DB01035
DB00458,0,DB01035
DB01263,0,DB00333
DB00889,0,DB04844
DB06825,0,DB01184
DB00608,0,DB00757
DB01104,0,DB06216
DB00915,0,DB00608
DB00537,0,DB01175
DB00818,0,DB00246
DB01268,0,DB00889
DB00334,0,DB00308
DB01274,0,DB00246
DB01036,0,DB00363
DB00289,0,DB00261
DB00674,0,DB05294
DB01151,0,DB01087
DB08815,0,DB00908
DB06788,0,DB01175
DB08903,0,DB01175
DB01104,0,DB00904
DB00915,0,DB01175
DB01075,0,DB01267
DB01254,0,DB01035
DB01356,0,DB09039
DB04953,0,DB01195
DB00691,0,DB04844
DB01142,0,DB06708
DB01274,0,DB00556
DB01151,0,DB00757
DB00243,0,DB06216
DB01069,0,DB00199
DB00743,0,DB08881
DB01001,0,DB00014
DB01087,0,DB01624
DB00358,0,DB00215
DB06603,0,DB00489
DB01001,0,DB00743
DB00834,0,DB01001
DB00871,0,DB01169
DB00674,0,DB01155
DB00726,0,DB00308
DB04953,0,DB00014
DB00757,0,DB01195
DB06663,0,DB00908
DB00270,0,DB06216
DB00726,0,DB00679
DB00622,0,DB06216
DB00270,0,DB01035
DB01036,0,DB01624
DB01268,0,DB01182
DB00949,0,DB06589
DB00334,0,DB01211
DB01238,0,DB06216
DB00458,0,DB00199
DB09080,0,DB04946
DB00818,0,DB00743
DB00289,0,DB01137
DB00656,0,DB00218
DB00916,0,DB00889
DB00263,0,DB01195
DB01268,0,DB00743
DB00334,0,DB00204
DB01142,0,DB05294
DB00753,0,DB00014
DB00196,0,DB09063
DB00808,0,DB04855
DB01195,0,DB00308
DB00344,0,DB01165
DB02546,0,DB06708
